,videoId,item_type,authorDisplayName,textDisplay,textOriginal,authorChannelUrl,likeCount,category,isBad
0,jWRMXiHhDjc,0,SugArmyy,How did they run up those stairs and still managed to sing that well?? Stable vocal kings,How did they run up those stairs and still managed to sing that well?? Stable vocal kings,http://www.youtube.com/channel/UCubO4mCvfVifZm4ZLTs_1Cg,40456,music,0
1,jWRMXiHhDjc,1,Tamienoona,"most comments say it&#39;s prerecorded voice.. it is live voice.. but the video is prerecorded.. they did it for a couple of takes and from those takes, they make the whole video.. there might be a cut before they go up the stairs or before they went out of the rooftop.. but we&#39;ll never know.. the thing is, BTS and the whole crew is always on maximum effort on putting up an incredible show for ARMY and non-ARMY viewers.  they never disappoint.","most comments say it's prerecorded voice.. it is live voice.. but the video is prerecorded.. they did it for a couple of takes and from those takes, they make the whole video.. there might be a cut before they go up the stairs or before they went out of the rooftop.. but we'll never know.. the thing is, BTS and the whole crew is always on maximum effort on putting up an incredible show for ARMY and non-ARMY viewers.  they never disappoint.",http://www.youtube.com/channel/UCUFU7gA-Jr5VFpYCubwONYw,1,music,0
2,jWRMXiHhDjc,1,Alex Prime,Prerecorded,Prerecorded,http://www.youtube.com/channel/UCgfnFS0oRvshMvBJD2BCZiw,0,music,0
3,jWRMXiHhDjc,1,Athena Tsaousoglou,@Ian Futalan yes,@Ian Futalan yes,http://www.youtube.com/channel/UCAZQ3YuDPMYtbB94DyLTUkg,0,music,0
4,jWRMXiHhDjc,1,Munawarah Idham,BTS AND ARMY,BTS AND ARMY,http://www.youtube.com/channel/UC-7FIkjnxiUpsUWb-1GlC6Q,1,music,0
5,jWRMXiHhDjc,1,Munawarah Idham,Jeon jungkook,Jeon jungkook,http://www.youtube.com/channel/UC-7FIkjnxiUpsUWb-1GlC6Q,1,music,0
6,jWRMXiHhDjc,0,SweetCherry620,True army know they are not lip syncing. V literally proved it by taking a breath in his part. Haters gonna hate and say it’s lip sync cuz they can’t accept bts is literally that talented,True army know they are not lip syncing. V literally proved it by taking a breath in his part. Haters gonna hate and say it’s lip sync cuz they can’t accept bts is literally that talented,http://www.youtube.com/channel/UCrga3AVGh3PlxHX2gfQgwzQ,560,music,0
7,jWRMXiHhDjc,1,celestia4141,"Not lip synced at all. There were enough imperfections, breaths, etc to prove that. They usually do use a backtrack, but they didn’t even have that in this particular performance","Not lip synced at all. There were enough imperfections, breaths, etc to prove that. They usually do use a backtrack, but they didn’t even have that in this particular performance",http://www.youtube.com/channel/UCWaXGK44PKxkwEZqiVXJM8w,0,music,0
8,jWRMXiHhDjc,1,Lucia,"@Shining star <a href=""https://www.youtube.com/watch?v=jWRMXiHhDjc&amp;t=1m04s"">1:04</a>",@Shining star 1:04,http://www.youtube.com/channel/UCmaSNVim_4t-RFB-Pt38NSg,0,music,0
9,jWRMXiHhDjc,1,Hadi Yazid,Yes they sang live mixed with pre-recorded backtracks to enable some rooms for breathing.,Yes they sang live mixed with pre-recorded backtracks to enable some rooms for breathing.,http://www.youtube.com/channel/UCbl1SohaKZJHwiJ0cNcGr8g,0,music,0
