,videoId,item_type,authorDisplayName,textDisplay,textOriginal,authorChannelUrl,likeCount,category,isBad
0,MwJtbty1hbI,0,스톤조아,"<a href=""https://www.youtube.com/watch?v=MwJtbty1hbI&amp;t=52m16s"">52:16</a> 전수찬 발작버튼 on",52:16 전수찬 발작버튼 on,http://www.youtube.com/channel/UCSHzywyNBVeL89sp9BLFiGg,68,game,0
1,MwJtbty1hbI,0,김주형,“이 메커니즘이라면 정글차이가 맞다 “,“이 메커니즘이라면 정글차이가 맞다 “,http://www.youtube.com/channel/UCAbD-KqsEPGds_KD-4tDBYw,219,game,0
2,MwJtbty1hbI,1,포즘티비,전직 아이돌 연습생 출신 비제이 스타킹 개찢는 방송하넹....ㅠㅠ<br>내프로필 와서 보고가용💜💜<br>------------------------------------------------------------------,"전직 아이돌 연습생 출신 비제이 스타킹 개찢는 방송하넹....ㅠㅠ
내프로필 와서 보고가용💜💜
------------------------------------------------------------------",http://www.youtube.com/channel/UC2ODZzP_J0-ZkjCxJ30wpJw,0,game,0
3,MwJtbty1hbI,0,G G,&quot;다딱이 리 신 밴 안해도 된다&quot;<br>&quot;리 신 주면 오히려 좋다&quot;<br>&quot;어차피 다이아라서 빡시게 못굴린다&quot;<br><br>전부 실제로 한 말,"""다딱이 리 신 밴 안해도 된다""
""리 신 주면 오히려 좋다""
""어차피 다이아라서 빡시게 못굴린다""

전부 실제로 한 말",http://www.youtube.com/channel/UCNtLqTPBBPVkE4mq7RjtUlg,209,game,0
4,MwJtbty1hbI,1,박ᄃᄃ,클템이 아프리카정글이었다면?,클템이 아프리카정글이었다면?,http://www.youtube.com/channel/UC5rNrO_lIzeMa9hidu1OHCA,0,game,0
5,MwJtbty1hbI,1,sun Chi cci Ju,진짜 이렇게말함?? ㅋㅋㅋ ㄹㅇ 프로하면 됐을거라 생각하고있노 ㅋㅋㅋㅋㅋㅋㅋ,진짜 이렇게말함?? ㅋㅋㅋ ㄹㅇ 프로하면 됐을거라 생각하고있노 ㅋㅋㅋㅋㅋㅋㅋ,http://www.youtube.com/channel/UCVnkjJ3w71QjkU_zzaj1wkA,0,game,0
6,MwJtbty1hbI,1,ᄒᄋ,@부밍youtube 그거 인섹이 루머라고 해명했던데 ㅋㅋㅋㅋㅋ 구단주가 연봉 비밀로 해달라해서 말 안했는데 어느 순간 진짜의 거의 10배로 소문났다고 ㅋㅋㅋㅋ,@부밍youtube 그거 인섹이 루머라고 해명했던데 ㅋㅋㅋㅋㅋ 구단주가 연봉 비밀로 해달라해서 말 안했는데 어느 순간 진짜의 거의 10배로 소문났다고 ㅋㅋㅋㅋ,http://www.youtube.com/channel/UCb6QqHp6R-QUjs7n-994AmA,1,game,0
7,MwJtbty1hbI,1,에이설마,인섹 솔직히 플레보다 못한다는 왜 빼먹냐 ㅋㅋㅋㅋ,인섹 솔직히 플레보다 못한다는 왜 빼먹냐 ㅋㅋㅋㅋ,http://www.youtube.com/channel/UC-Dk05Wgxoe5P_jtaRV2PtQ,3,game,0
8,MwJtbty1hbI,1,정배올킬이실장,@Kakao ... 너 나가,@Kakao ... 너 나가,http://www.youtube.com/channel/UCWeoCC_Jc1eA7eJaYXIxe1Q,2,game,0
9,MwJtbty1hbI,0,김성우,인섹리신한테 개농락당하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,인섹리신한테 개농락당하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,http://www.youtube.com/channel/UCL6_3Wmw7UsDPqtAIXAZQEw,183,game,0
